Reference,London Borough Name,Casualty Class,Casualty Sex,Casualty Age Band,Casualty Age,Number Of Casualties,Casualty Severity,Pedestrian Location,Pedestrian Movement,Mode Of Travel,Attendant Location,Number Of Vehicles,Date,Day,Time,Highway,Road Class 1,Road Number 1,Road Type,Speed Limit,Junction Detail,Junction Control,Road Class 2,Road Number 2,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Easting,Northing,Longitude,Latitude,Ward Code,Ward Name,Spatial Accuracy,Location,Organisation URI,Socrata ID,Last Uploaded
1170064483,CAMDEN,2 Passenger,1 Male,16-24,16,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach,FINCHLEY ROAD J/W HILGROVE ROAD,2,14/10/2017 10:58:00 AM,Saturday,10.58,1 TLRN,A,41,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,B,509,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526630,184100,-0.175384,51.541604,,,Unknown,"(51.541604, -0.175384)",http://opendatacommunities.org/id/london-borough-council/camden,7419,21/12/2020 02:48:40 PM
1170061892,CAMDEN,2 Passenger,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car,PLENDER STREET J/W BAYHAM STREET,2,30/09/2017 11:15:00 PM,Saturday,23.15,3 Bor,C,0,2 One-Way St,1 <= 20 MPH,6 Crossroads,4 Give Way/Uncontrolled,Unclassified,0,1 Zebra,2 Dark,1 Fine,2 Road-Wet,0 None,0 None,529190,183560,-0.138688,51.536172,,,Unknown,"(51.536172, -0.138688)",http://opendatacommunities.org/id/london-borough-council/camden,7363,21/12/2020 02:48:40 PM
0116EK40339,CAMDEN,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car,WEST END LANE J/W BROADHURST GARDENS,2,14/05/2016 09:10:00 PM,Saturday,21.10,3 Bor,B,510,6 Single Cwy,1 <= 20 MPH,3 T/Stag Jun,2 Auto Sig,C,0,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,525520,184600,-0.191204,51.546345,,,Unknown,"(51.546345, -0.191204)",http://opendatacommunities.org/id/london-borough-council/camden,6272,21/12/2020 02:48:38 PM
1180114774,CAMDEN,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,CAMDEN ROAD 20M W OF J/W ST PANCRAS WAY,2,16/06/2018 10:10:00 PM,Saturday,22.10,1 TLRN,A,503,6 Single Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,A,5202,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529245,184279,-0.137631,51.542621,,,Unknown,"(51.542621, -0.137631)",http://opendatacommunities.org/id/london-borough-council/camden,8081,21/12/2020 02:48:42 PM
0116EO40398,CAMDEN,1 Driver/Rider,2 Female,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,YORK WAY 35M NORTH OF J/W HANDYSIDE STREET,2,07/06/2016 01:05:00 PM,Tuesday,13.05,3 Bor,A,5200,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530300,183710,-0.122637,51.537265,,,Unknown,"(51.537265, -0.122637)",http://opendatacommunities.org/id/london-borough-council/camden,6532,21/12/2020 02:48:39 PM
1170019503,CAMDEN,2 Passenger,2 Female,16-24,17,1,3 Slight,-2 Unknown,-2 N/A,4 Car,HIGH HOLBORN J/W DURY LANE,2,19/02/2017 01:16:00 PM,Sunday,13.16,3 Bor,C,0,6 Single Cwy,1 <= 20 MPH,6 Crossroads,2 Auto Sig,B,401,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530260,181390,-0.124071,51.516425,,,Unknown,"(51.516425, -0.124071)",http://opendatacommunities.org/id/london-borough-council/camden,6690,21/12/2020 02:48:39 PM
1190180332,CAMDEN,1 DRIVER/RIDER,1 MALE,25-59,35,2,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,4 CAR,Location uncertain York Way,2,12/05/2019 01:05:00 AM,Sunday,1.05,3 BOR,A,5200,6 SINGLE CWY,30,03 T/STAG JUN,2 AUTO SIG,6,0,5 PEDN PHASE AT ATS,1 DARK,1 FINE,1 ROAD-DRY,0 NONE,0 NONE,530255,183855,-0.123232,51.538578,,,Unknown,"(51.538578, -0.123232)",http://opendatacommunities.org/id/london-borough-council/camden,8992,21/12/2020 02:48:44 PM
1170065759,CAMDEN,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle,EUSTON ROAD J/W UPPER WOBURN PLACE,2,21/10/2017 02:25:00 AM,Saturday,2.25,1 TLRN,A,501,3 Dual Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,A,4200,4 Pelican Or Similar,2 Dark,1 Fine,2 Road-Wet,0 None,0 None,529760,182540,-0.13085,51.526874,,,Unknown,"(51.526874, -0.13085)",http://opendatacommunities.org/id/london-borough-council/camden,7443,21/12/2020 02:48:40 PM
0115EK40227,CAMDEN,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car,FINCHLEY ROAD J/WADELAIDE ROAD,2,24/03/2015 11:09:00 PM,Tuesday,23.09,1 TLRN,A,41,3 Dual Cwy,3 40 MPH,6 Crossroads,2 Auto Sig,A,41,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,526630,184100,-0.175384,51.541604,,,Unknown,"(51.541604, -0.175384)",http://opendatacommunities.org/id/london-borough-council/camden,4759,21/12/2020 02:48:36 PM
0115EK40362,CAMDEN,2 Passenger,2 Female,0-15,9,1,3 Slight,-2 Unknown,-2 N/A,4 Car,PRATT STREET J/W CAMDEN STREET,4,08/05/2015 08:58:00 PM,Friday,20.58,1 TLRN,C,0,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,400,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529220,183810,-0.138164,51.538411,,,Unknown,"(51.538411, -0.138164)",http://opendatacommunities.org/id/london-borough-council/camden,4868,21/12/2020 02:48:36 PM
0115EK40843,CAMDEN,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,SHAFTESBURY AVENUE J/W HIGH HOLBORN,1,24/09/2015 03:38:00 PM,Thursday,15.38,3 Bor,A,401,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530080,181320,-0.12669,51.515837,,,Unknown,"(51.515837, -0.12669)",http://opendatacommunities.org/id/london-borough-council/camden,5295,21/12/2020 02:48:37 PM
0115CW10228,CAMDEN,1 Driver/Rider,2 Female,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,ABBEY ROAD J/W BOUNDARY ROAD.,2,26/02/2015 07:40:00 AM,Thursday,7.40,3 Bor,B,507,6 Single Cwy,2 30 MPH,6 Crossroads,4 Give Way/Uncontrolled,B,507,1 Zebra,1 Daylight,1 Fine,2 Road-Wet,0 None,0 None,525990,183670,-0.184762,51.537883,,,Unknown,"(51.537883, -0.184762)",http://opendatacommunities.org/id/london-borough-council/camden,4555,21/12/2020 02:48:35 PM
0115EO40671,CAMDEN,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,PENTONVILLE ROAD J/W CALEDONIAN ROAD,2,24/09/2015 07:20:00 PM,Thursday,19.20,1 TLRN,A,501,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,5203,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,530430,183000,-0.121027,51.530854,,,Unknown,"(51.530854, -0.121027)",http://opendatacommunities.org/id/london-borough-council/camden,5596,21/12/2020 02:48:37 PM
1180130433,CAMDEN,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,CAMDEN PARK ROAD J/W A503 CAMDEN ROAD,2,03/09/2018 05:20:00 PM,Monday,17.20,1 TLRN,A,5200,2 One-Way St,1 <= 20 MPH,6 Crossroads,2 Auto Sig,A,503,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529730,184860,-0.130427,51.547731,,,Unknown,"(51.547731, -0.130427)",http://opendatacommunities.org/id/london-borough-council/camden,8299,21/12/2020 02:48:42 PM
0115EK40978,CAMDEN,2 Passenger,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car,CAMDEN ROAD J/W ST PANCRAS WAY.,2,04/11/2015 08:40:00 PM,Wednesday,20.40,1 TLRN,A,503,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,5202,5 Pedn Phase At Ats,2 Dark,1 Fine,2 Road-Wet,0 None,0 None,529260,184300,-0.137408,51.542806,,,Unknown,"(51.542806, -0.137408)",http://opendatacommunities.org/id/london-borough-council/camden,5405,21/12/2020 02:48:37 PM
1170040573,CAMDEN,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi,EUSTON ROAD J/W TOTTENHAM COURT ROAD,1,20/05/2017 11:10:00 PM,Saturday,23.10,1 TLRN,A,501,6 Single Cwy,1 <= 20 MPH,6 Crossroads,2 Auto Sig,A,400,4 Pelican Or Similar,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529250,182330,-0.138274,51.525104,,,Unknown,"(51.525104, -0.138274)",http://opendatacommunities.org/id/london-borough-council/camden,7007,21/12/2020 02:48:39 PM
0115EK40815,CAMDEN,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car,PARKWAY J/W ARLINGTON ROAD.,2,19/09/2015 06:46:00 PM,Saturday,18.46,3 Bor,A,4201,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,Unclassified,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528810,183810,-0.144072,51.538505,,,Unknown,"(51.538505, -0.144072)",http://opendatacommunities.org/id/london-borough-council/camden,5274,21/12/2020 02:48:37 PM
